actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level,login_total_day_x,playtime_per_day,sit_count,exp_get_amout,item_get_count,money_get_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,login_total_day_y,sit_count_perday,item_get_count_perday,money_get_count_perday,teleport_count_perday,total_party_time,average_party_time,class
20000005,259,259,1,637926,124.8494653,259,0,15,42528.4,270,389149580,31149,4686,47,30,376,51,62,15,18,2076.6,312.4,25.06666667,8862,1477,0
20000016,38,37,1,401885,43.5099618,38,42,14,28706.07143,153,80119427,61579,1596,32,75,343,75,5893,14,10.92857143,4398.5,114,24.5,69458,3655.684211,0
20000033,43,42,1,240334,-6.613812444,43,38,14,17166.71429,378,142485377,24686,1318,35,53,337,69,97,14,27,1763.285714,94.14285714,24.07142857,43619,2295.736842,0
20000035,25,24,1,1205493,0.088530585,25,0,15,80366.2,207,1377552887,109795,7979,0,12,44,10,0,15,13.8,7319.666667,531.9333333,2.933333333,0,0,0
20000051,110,109,1,457433,-32.87487785,110,0,15,30495.53333,320,395099069,98368,3551,311,109,568,261,80,15,21.33333333,6557.866667,236.7333333,37.86666667,40934,2558.375,0
20000064,9,9,1,14596,164.2089614,9,0,5,2919.2,14,18351775,223,190,0,2,16,2,4,5,2.8,44.6,38,3.2,0,0,0
20000071,50,48,1,218017,-3.236921891,50,31,13,16770.53846,249,36652226,27050,1092,4,40,178,38,419,13,19.15384615,2080.769231,84,13.69230769,12992,3248,0
20000085,13,13,1,187187,0.238793292,13,28,6,31197.83333,101,24319101,69028,1293,27,31,181,48,206,6,16.83333333,11504.66667,215.5,30.16666667,14878,1653.111111,0
20000087,3,3,1,11149,0.167369271,3,7,3,3716.333333,0,37782,44,26,0,2,4,4,4,3,0,14.66666667,8.666666667,1.333333333,756,756,0
20000088,115,116,1,630830,-13.05386396,115,37,15,42055.33333,602,263808810,33304,3447,252,140,696,268,368,15,40.13333333,2220.266667,229.8,46.4,11698,1949.666667,0
20000105,1,1,1,12094,0.727468166,1,8,1,12094,0,83766,377,63,0,1,7,1,12,1,0,377,63,7,0,0,0
20000108,19,19,1,20567,-2651.777556,19,0,11,1869.727273,0,0,0,22,0,0,3,0,0,11,0,0,2,0.272727273,0,0,0
20000111,59,59,1,195585,-3.305631822,59,29,14,13970.35714,149,24258735,5339,1145,6,31,155,31,173,14,10.64285714,381.3571429,81.78571429,11.07142857,15892,1589.2,0
20000117,36,35,1,1148470,0.272719357,36,0,15,76564.66667,499,760109571,1290,13561,62,470,356,388,0,15,33.26666667,86,904.0666667,23.73333333,17138,8569,0
20000124,176,175,1,512291,16.75920327,176,48,15,34152.73333,432,609662121,76559,6775,40,138,622,131,821,15,28.8,5103.933333,451.6666667,41.46666667,76945,2849.814815,0
20000135,15,13,1,1096369,-9.543346264,15,50,15,73091.26667,3998,1080547267,74407,51,5,7,47,11,605,15,266.5333333,4960.466667,3.4,3.133333333,0,0,0
20000154,28,28,1,128679,-36.47134342,28,39,8,16084.875,62,41390924,46849,269,4,29,101,28,263,8,7.75,5856.125,33.625,12.625,18980,6326.666667,0
20000196,42,41,1,946368,-0.253208054,42,0,12,78864,9,11137705,82981,70888,0,54,249,54,0,12,0.75,6915.083333,5907.333333,20.75,0,0,1
20000206,251,250,1,330904,-34.19977093,251,40,14,23636,241,306293745,94684,2792,95,59,404,101,43,14,17.21428571,6763.142857,199.4285714,28.85714286,16885,3377,0
20000208,5,4,1,16571,2.202462133,5,12,3,5523.666667,41,563795,1523,166,0,3,15,3,70,3,13.66666667,507.6666667,55.33333333,5,0,0,0
20000215,32,31,1,143304,6.585740803,32,0,11,13027.63636,0,164703,38,127,4,0,65,29,0,11,0,3.454545455,11.54545455,5.909090909,0,0,0
20000222,45,45,1,97283,-60.4609644,45,39,11,8843.909091,95,69811716,2483,721,7,37,116,27,56,11,8.636363636,225.7272727,65.54545455,10.54545455,12663,2532.6,1
20000278,61,61,1,137298,-35.8268875,61,39,8,17162.25,224,55254629,15976,1421,1,35,176,31,34,8,28,1997,177.625,22,34995,4374.375,0
20000279,56,56,1,29606,264.8170979,56,0,15,1973.733333,0,0,84800,51,0,0,8,0,0,15,0,5653.333333,3.4,0.533333333,84,42,0
20000290,5,4,1,30499,9.850585265,5,16,4,7624.75,5,1688862,11262,412,0,6,30,6,68,4,1.25,2815.5,103,7.5,1400,233.3333333,0
20000316,191,191,1,349486,-42.53814745,191,31,15,23299.06667,595,358808938,168431,3979,163,43,493,153,564,15,39.66666667,11228.73333,265.2666667,32.86666667,72049,3002.041667,0
20000328,6,6,1,11707,0.352097036,6,11,2,5853.5,2,320509,5315,99,0,1,9,1,45,2,1,2657.5,49.5,4.5,0,0,0
20000343,53,53,1,444172,-45.7850675,53,0,15,29611.46667,295,379809859,2973,3410,17,122,379,104,63,15,19.66666667,198.2,227.3333333,25.26666667,86211,5388.1875,0
20000350,18,17,1,1110169,-10.10721611,18,47,14,79297.78571,1129,479411310,46720,19272,193,30,230,167,3000,14,80.64285714,3337.142857,1376.571429,16.42857143,0,0,0
